二月田,九州旅客鉄道,指宿枕崎線,0
芝山千代田,芝山鉄道,芝山鉄道線,1452
東成田,芝山鉄道,芝山鉄道線,0
丹比,若桜鉄道,若桜線,79
若桜,若桜鉄道,若桜線,276
八頭高校前,若桜鉄道,若桜線,332
因幡船岡,若桜鉄道,若桜線,34
郡家,若桜鉄道,若桜線,0
八東,若桜鉄道,若桜線,71
安部,若桜鉄道,若桜線,29
隼,若桜鉄道,若桜線,38
徳丸,若桜鉄道,若桜線,25
柏たなか,首都圏新都市鉄道,常磐新線,8000
守谷,首都圏新都市鉄道,常磐新線,48100
万博記念公園,首都圏新都市鉄道,常磐新線,5300
流山おおたかの森,首都圏新都市鉄道,常磐新線,66300
みどりの,首都圏新都市鉄道,常磐新線,7400
つくば,首都圏新都市鉄道,常磐新線,35700
みらい平,首都圏新都市鉄道,常磐新線,9200
研究学園,首都圏新都市鉄道,常磐新線,13000
柏の葉キャンパス,首都圏新都市鉄道,常磐新線,30000
北千住,首都圏新都市鉄道,常磐新線,89200
三郷中央,首都圏新都市鉄道,常磐新線,25000
六町,首都圏新都市鉄道,常磐新線,26900
浅草,首都圏新都市鉄道,常磐新線,20500
八潮,首都圏新都市鉄道,常磐新線,38400
南流山,首都圏新都市鉄道,常磐新線,66300
青井,首都圏新都市鉄道,常磐新線,12400
秋葉原,首都圏新都市鉄道,常磐新線,124800
南千住,首都圏新都市鉄道,常磐新線,9700
流山セントラルパーク,首都圏新都市鉄道,常磐新線,7200
新御徒町,首都圏新都市鉄道,常磐新線,36900
鷹巣,秋田内陸縦貫鉄道,秋田内陸線,0
米内沢,秋田内陸縦貫鉄道,秋田内陸線,0
羽後中里,秋田内陸縦貫鉄道,秋田内陸線,0
上杉,秋田内陸縦貫鉄道,秋田内陸線,0
比立内,秋田内陸縦貫鉄道,秋田内陸線,0
前田南,秋田内陸縦貫鉄道,秋田内陸線,0
桂瀬,秋田内陸縦貫鉄道,秋田内陸線,0
小ヶ田,秋田内陸縦貫鉄道,秋田内陸線,0
笑内,秋田内陸縦貫鉄道,秋田内陸線,0
戸沢,秋田内陸縦貫鉄道,秋田内陸線,0
西明寺,秋田内陸縦貫鉄道,秋田内陸線,0
左通,秋田内陸縦貫鉄道,秋田内陸線,0
羽後太田,秋田内陸縦貫鉄道,秋田内陸線,0
西鷹巣,秋田内陸縦貫鉄道,秋田内陸線,0
八津,秋田内陸縦貫鉄道,秋田内陸線,0
荒瀬,秋田内陸縦貫鉄道,秋田内陸線,0
阿仁前田,秋田内陸縦貫鉄道,秋田内陸線,0
萱草,秋田内陸縦貫鉄道,秋田内陸線,0
奥阿仁,秋田内陸縦貫鉄道,秋田内陸線,0
阿仁合,秋田内陸縦貫鉄道,秋田内陸線,0
上桧木内,秋田内陸縦貫鉄道,秋田内陸線,0
合川,秋田内陸縦貫鉄道,秋田内陸線,0
羽後長戸呂,秋田内陸縦貫鉄道,秋田内陸線,0
大野台,秋田内陸縦貫鉄道,秋田内陸線,0
松葉,秋田内陸縦貫鉄道,秋田内陸線,0
岩野目,秋田内陸縦貫鉄道,秋田内陸線,0
小渕,秋田内陸縦貫鉄道,秋田内陸線,0
阿仁マタギ,秋田内陸縦貫鉄道,秋田内陸線,0
角館,秋田内陸縦貫鉄道,秋田内陸線,0
相模大野,小田急電鉄,江ノ島線,0
鶴間,小田急電鉄,江ノ島線,29498
中央林間,小田急電鉄,江ノ島線,97382
東林間,小田急電鉄,江ノ島線,21460
相模大野,小田急電鉄,江ノ島線,0
南林間,小田急電鉄,江ノ島線,33555
湘南台,小田急電鉄,江ノ島線,90208
長後,小田急電鉄,江ノ島線,34839
藤沢,小田急電鉄,江ノ島線,162345
鵠沼海岸,小田急電鉄,江ノ島線,19696
本鵠沼,小田急電鉄,江ノ島線,12690
桜ヶ丘,小田急電鉄,江ノ島線,20602
大和,小田急電鉄,江ノ島線,116042
六会日大前,小田急電鉄,江ノ島線,30555
藤沢本町,小田急電鉄,江ノ島線,21838
善行,小田急電鉄,江ノ島線,27176
片瀬江ノ島,小田急電鉄,江ノ島線,20692
高座渋谷,小田急電鉄,江ノ島線,24602
代々木八幡,小田急電鉄,小田原線,20411
喜多見,小田急電鉄,小田原線,32973
豪徳寺,小田急電鉄,小田原線,26498
下北沢,小田急電鉄,小田原線,114118
南新宿,小田急電鉄,小田原線,3815
千歳船橋,小田急電鉄,小田原線,56293
参宮橋,小田急電鉄,小田原線,15657
祖師ヶ谷大蔵,小田急電鉄,小田原線,47857
梅ヶ丘,小田急電鉄,小田原線,32199
新宿,小田急電鉄,小田原線,492234
世田谷代田,小田急電鉄,小田原線,7886
東北沢,小田急電鉄,小田原線,6506
経堂,小田急電鉄,小田原線,74691
成城学園前,小田急電鉄,小田原線,88516
代々木上原,小田急電鉄,小田原線,251439
町田,小田急電鉄,小田原線,291911
狛江,小田急電鉄,小田原線,45650
読売ランド前,小田急電鉄,小田原線,35131
生田,小田急電鉄,小田原線,45279
和泉多摩川,小田急電鉄,小田原線,15792
百合ヶ丘,小田急電鉄,小田原線,21522
柿生,小田急電鉄,小田原線,36832
玉川学園前,小田急電鉄,小田原線,48199
相模大野,小田急電鉄,小田原線,129015
小田急相模原,小田急電鉄,小田原線,56293
登戸,小田急電鉄,小田原線,161548
相武台前,小田急電鉄,小田原線,38851
向ヶ丘遊園,小田急電鉄,小田原線,65774
鶴川,小田急電鉄,小田原線,69261
新百合ヶ丘,小田急電鉄,小田原線,124747
小田原,小田急電鉄,小田原線,64580
海老名,小田急電鉄,小田原線,143629
愛甲石田,小田急電鉄,小田原線,51341
新松田,小田急電鉄,小田原線,24723
足柄,小田急電鉄,小田原線,3624
座間,小田急電鉄,小田原線,21732
栢山,小田急電鉄,小田原線,9372
厚木,小田急電鉄,小田原線,21182
本厚木,小田急電鉄,小田原線,152467
秦野,小田急電鉄,小田原線,43055
鶴巻温泉,小田急電鉄,小田原線,15154
開成,小田急電鉄,小田原線,10736
伊勢原,小田急電鉄,小田原線,51733
富水,小田急電鉄,小田原線,6899
渋沢,小田急電鉄,小田原線,28058
東海大学前,小田急電鉄,小田原線,41131
螢田,小田急電鉄,小田原線,6241
相模大野,小田急電鉄,小田原線,0
五月台,小田急電鉄,多摩線,10083
新百合ヶ丘,小田急電鉄,多摩線,0
唐木田,小田急電鉄,多摩線,21078
小田急多摩センター,小田急電鉄,多摩線,49809
黒川,小田急電鉄,多摩線,8245
栗平,小田急電鉄,多摩線,22596
はるひ野,小田急電鉄,多摩線,9325
小田急永山,小田急電鉄,多摩線,30737
五井,小湊鐵道,小湊鐵道線,1331
上総鶴舞,小湊鐵道,小湊鐵道線,21
里見,小湊鐵道,小湊鐵道線,60
上総久保,小湊鐵道,小湊鐵道線,14
海士有木,小湊鐵道,小湊鐵道線,192
上総山田,小湊鐵道,小湊鐵道線,118
養老渓谷,小湊鐵道,小湊鐵道線,116
馬立,小湊鐵道,小湊鐵道線,204
月崎,小湊鐵道,小湊鐵道線,13
上総村上,小湊鐵道,小湊鐵道線,104
上総牛久,小湊鐵道,小湊鐵道線,572
上総大久保,小湊鐵道,小湊鐵道線,13
飯給,小湊鐵道,小湊鐵道線,4
光風台,小湊鐵道,小湊鐵道線,355
上総中野,小湊鐵道,小湊鐵道線,33
上総三又,小湊鐵道,小湊鐵道線,118
上総川間,小湊鐵道,小湊鐵道線,62
高滝,小湊鐵道,小湊鐵道線,24
北佐世保,松浦鉄道,西九州線,491
小浦,松浦鉄道,西九州線,260
神田,松浦鉄道,西九州線,76
真申,松浦鉄道,西九州線,67
泉福寺,松浦鉄道,西九州線,1011
鷹島口,松浦鉄道,西九州線,69
山谷,松浦鉄道,西九州線,59
今福,松浦鉄道,西九州線,195
久原,松浦鉄道,西九州線,90
江迎鹿町,松浦鉄道,西九州線,505
左石,松浦鉄道,西九州線,1020
西有田,松浦鉄道,西九州線,156
相浦,松浦鉄道,西九州線,186
伊万里,松浦鉄道,西九州線,1119
中里,松浦鉄道,西九州線,175
福島口,松浦鉄道,西九州線,91
野中,松浦鉄道,西九州線,124
川東,松浦鉄道,西九州線,319
三代橋,松浦鉄道,西九州線,121
本山,松浦鉄道,西九州線,165
松浦,松浦鉄道,西九州線,467
上相浦,松浦鉄道,西九州線,679
調川,松浦鉄道,西九州線,111
佐々,松浦鉄道,西九州線,558
金武,松浦鉄道,西九州線,28
大木,松浦鉄道,西九州線,75
楠久,松浦鉄道,西九州線,109
西木場,松浦鉄道,西九州線,38
浦ノ崎,松浦鉄道,西九州線,96
里,松浦鉄道,西九州線,77
東山代,松浦鉄道,西九州線,46
皆瀬,松浦鉄道,西九州線,192
高岩,松浦鉄道,西九州線,141
前浜,松浦鉄道,西九州線,49
波瀬,松浦鉄道,西九州線,17
いのつき,松浦鉄道,西九州線,70
すえたちばな,松浦鉄道,西九州線,21
中佐世保,松浦鉄道,西九州線,177
清峰高校前,松浦鉄道,西九州線,642
棚方,松浦鉄道,西九州線,190
大学,松浦鉄道,西九州線,1097
吉井,松浦鉄道,西九州線,196
黒川,松浦鉄道,西九州線,74
佐世保中央,松浦鉄道,西九州線,870
中田平,松浦鉄道,西九州線,19
蔵宿,松浦鉄道,西九州線,62
東田平,松浦鉄道,西九州線,12
潜竜ヶ滝,松浦鉄道,西九州線,143
西田平,松浦鉄道,西九州線,416
山の田,松浦鉄道,西九州線,86
たびら平戸口,松浦鉄道,西九州線,217
御厨,松浦鉄道,西九州線,269
鳴石,松浦鉄道,西九州線,96
佐世保,松浦鉄道,西九州線,1432
松浦発電所前,松浦鉄道,西九州線,16
夫婦石,松浦鉄道,西九州線,72
有田,松浦鉄道,西九州線,726
三溝,アルピコ交通,上高地線,373
信濃荒井,アルピコ交通,上高地線,63
西松本,アルピコ交通,上高地線,108
渚,アルピコ交通,上高地線,155
大庭,アルピコ交通,上高地線,370
松本,アルピコ交通,上高地線,3678
下新,アルピコ交通,上高地線,183
北新・松本大学前,アルピコ交通,上高地線,1198
新村,アルピコ交通,上高地線,287
渕東,アルピコ交通,上高地線,52
波田,アルピコ交通,上高地線,1104
新島々,アルピコ交通,上高地線,536
下島,アルピコ交通,上高地線,436
森口,アルピコ交通,上高地線,568
西鎌倉,湘南モノレール,江の島線,5179
目白山下,湘南モノレール,江の島線,258
大船,湘南モノレール,江の島線,26727
湘南深沢,湘南モノレール,江の島線,5336
湘南江の島,湘南モノレール,江の島線,4431
富士見町,湘南モノレール,江の島線,3855
湘南町屋,湘南モノレール,江の島線,6749
片瀬山,湘南モノレール,江の島線,3814
上州一ノ宮,上信電鉄,上信線,180
南蛇井,上信電鉄,上信線,110
上州富岡,上信電鉄,上信線,556
西富岡,上信電鉄,上信線,175
吉井,上信電鉄,上信線,341
西山名,上信電鉄,上信線,167
西吉井,上信電鉄,上信線,126
山名,上信電鉄,上信線,125
南高崎,上信電鉄,上信線,50
上州新屋,上信電鉄,上信線,140
下仁田,上信電鉄,上信線,270
馬庭,上信電鉄,上信線,393
神農原,上信電鉄,上信線,91
根小屋,上信電鉄,上信線,186
東富岡,上信電鉄,上信線,254
上州七日市,上信電鉄,上信線,213
上州福島,上信電鉄,上信線,280
高崎,上信電鉄,上信線,2295
高崎商科大学前,上信電鉄,上信線,223
千平,上信電鉄,上信線,14
中野,上田電鉄,別所線,102
八木沢,上田電鉄,別所線,76
神畑,上田電鉄,別所線,116
下之郷,上田電鉄,別所線,324
中塩田,上田電鉄,別所線,56
塩田町,上田電鉄,別所線,355
城下,上田電鉄,別所線,57
舞田,上田電鉄,別所線,76
寺下,上田電鉄,別所線,167
大学前,上田電鉄,別所線,777
上田原,上田電鉄,別所線,917
赤坂上,上田電鉄,別所線,248
別所温泉,上田電鉄,別所線,609
三好町,上田電鉄,別所線,74
上田,上田電鉄,別所線,3147
新川,上毛電気鉄道,上毛線,286
丸山下,上毛電気鉄道,上毛線,61
樋越,上毛電気鉄道,上毛線,201
赤城,上毛電気鉄道,上毛線,672
北原,上毛電気鉄道,上毛線,258
中央前橋,上毛電気鉄道,上毛線,1736
新里,上毛電気鉄道,上毛線,346
江木,上毛電気鉄道,上毛線,277
富士山下,上毛電気鉄道,上毛線,111
粕川,上毛電気鉄道,上毛線,286
赤坂,上毛電気鉄道,上毛線,237
片貝,上毛電気鉄道,上毛線,343
城東,上毛電気鉄道,上毛線,101
三俣,上毛電気鉄道,上毛線,180
大胡,上毛電気鉄道,上毛線,863
心臓血管センター,上毛電気鉄道,上毛線,72
東新川,上毛電気鉄道,上毛線,48
西桐生,上毛電気鉄道,上毛線,1658
上泉,上毛電気鉄道,上毛線,108
膳,上毛電気鉄道,上毛線,121
新屋,上毛電気鉄道,上毛線,243
天王宿,上毛電気鉄道,上毛線,240
信楽,信楽高原鐵道,信楽線,742
紫香楽宮跡,信楽高原鐵道,信楽線,67
玉桂寺前,信楽高原鐵道,信楽線,14
勅旨,信楽高原鐵道,信楽線,172
雲井,信楽高原鐵道,信楽線,332
貴生川,信楽高原鐵道,信楽線,0
高根公団,新京成電鉄,新京成線,15314
鎌ヶ谷大仏,新京成電鉄,新京成線,14438
新鎌ヶ谷,新京成電鉄,新京成線,32940
みのり台,新京成電鉄,新京成線,8570
初富,新京成電鉄,新京成線,5499
北初富,新京成電鉄,新京成線,5008
薬園台,新京成電鉄,新京成線,14692
二和向台,新京成電鉄,新京成線,18059
高根木戸,新京成電鉄,新京成線,8172
元山,新京成電鉄,新京成線,18732
くぬぎ山,新京成電鉄,新京成線,7105
松戸新田,新京成電鉄,新京成線,6420
八柱,新京成電鉄,新京成線,45218
前原,新京成電鉄,新京成線,8463
三咲,新京成電鉄,新京成線,13144
新津田沼,新京成電鉄,新京成線,70501
五香,新京成電鉄,新京成線,30377
滝不動,新京成電鉄,新京成線,7682
常盤平,新京成電鉄,新京成線,18809
北習志野,新京成電鉄,新京成線,44958
習志野,新京成電鉄,新京成線,13227
京成津田沼,新京成電鉄,新京成線,0
松戸,新京成電鉄,新京成線,106418
上本郷,新京成電鉄,新京成線,7073
七井,真岡鐵道,真岡線,324
折本,真岡鐵道,真岡線,44
下館二高前,真岡鐵道,真岡線,86
北山,真岡鐵道,真岡線,87
西田井,真岡鐵道,真岡線,52
久下田,真岡鐵道,真岡線,254
北真岡,真岡鐵道,真岡線,177
ひぐち,真岡鐵道,真岡線,53
市塙,真岡鐵道,真岡線,184
多田羅,真岡鐵道,真岡線,172
笹原田,真岡鐵道,真岡線,7
真岡,真岡鐵道,真岡線,1009
寺内,真岡鐵道,真岡線,83
天矢場,真岡鐵道,真岡線,17
茂木,真岡鐵道,真岡線,702
益子,真岡鐵道,真岡線,300
下館,真岡鐵道,真岡線,579
ハーバーランド,神戸市,海岸線,13514
中央市場前,神戸市,海岸線,3500
三宮・花時計前,神戸市,海岸線,14212
旧居留地・大丸前,神戸市,海岸線,3860
みなと元町,神戸市,海岸線,3220
御崎公園,神戸市,海岸線,6620
新長田,神戸市,海岸線,0
和田岬,神戸市,海岸線,20084
苅藻,神戸市,海岸線,3238
駒ヶ林,神戸市,海岸線,2406
県庁前,神戸市,山手線,11344
上沢,神戸市,山手線,6822
湊川公園,神戸市,山手線,21464
大倉山,神戸市,山手線,11446
三宮,神戸市,山手線,121720
長田,神戸市,山手線,11686
新神戸,神戸市,山手線,45500
新長田,神戸市,山手線,0
総合運動公園,神戸市,西神延伸線,14546
西神南,神戸市,西神延伸線,26604
名谷,神戸市,西神延伸線,0
学園都市,神戸市,西神延伸線,36674
西神中央,神戸市,西神延伸線,51030
伊川谷,神戸市,西神延伸線,10206
板宿,神戸市,西神線,25792
妙法寺,神戸市,西神線,33986
新長田,神戸市,西神線,59986
名谷,神戸市,西神線,54110
虹,神戸すまいまちづくり公社,摩耶ケーブル線,560
摩耶ケーブル,神戸すまいまちづくり公社,摩耶ケーブル線,560
アイランドセンター,神戸新交通,六甲アイランド線,17975
アイランド北口,神戸新交通,六甲アイランド線,8599
魚崎,神戸新交通,六甲アイランド線,10101
南魚崎,神戸新交通,六甲アイランド線,1632
マリンパーク,神戸新交通,六甲アイランド線,6444
住吉,神戸新交通,六甲アイランド線,26065
鈴蘭台,神戸電鉄,粟生線,0
小野,神戸電鉄,粟生線,3371
緑が丘,神戸電鉄,粟生線,3297
栄,神戸電鉄,粟生線,1529
広野ゴルフ場前,神戸電鉄,粟生線,1010
藍那,神戸電鉄,粟生線,156
恵比須,神戸電鉄,粟生線,1365
三木上の丸,神戸電鉄,粟生線,393
木幡,神戸電鉄,粟生線,913
木津,神戸電鉄,粟生線,928
鈴蘭台西口,神戸電鉄,粟生線,1278
樫山,神戸電鉄,粟生線,422
市場,神戸電鉄,粟生線,208
大村,神戸電鉄,粟生線,809
葉多,神戸電鉄,粟生線,266
志染,神戸電鉄,粟生線,3652
三木,神戸電鉄,粟生線,1748
西鈴蘭台,神戸電鉄,粟生線,9289
押部谷,神戸電鉄,粟生線,1605
横山,神戸電鉄,公園都市線,0
フラワータウン,神戸電鉄,公園都市線,5973
南ウッディタウン,神戸電鉄,公園都市線,1683
ウッディタウン中央,神戸電鉄,公園都市線,3199
岡場,神戸電鉄,三田線,11669
道場南口,神戸電鉄,三田線,3117
神鉄道場,神戸電鉄,三田線,2663
横山,神戸電鉄,三田線,4471
三田,神戸電鉄,三田線,16810
田尾寺,神戸電鉄,三田線,6344
三田本町,神戸電鉄,三田線,691
二郎,神戸電鉄,三田線,193
有馬口,神戸電鉄,三田線,0
五社,神戸電鉄,三田線,2101
新開地,神戸電鉄,神戸高速線,0
湊川,神戸電鉄,神戸高速線,0
有馬口,神戸電鉄,有馬線,944
大池,神戸電鉄,有馬線,3633
湊川,神戸電鉄,有馬線,13348
神鉄六甲,神戸電鉄,有馬線,936
箕谷,神戸電鉄,有馬線,2593
有馬温泉,神戸電鉄,有馬線,3712
長田,神戸電鉄,有馬線,4141
花山,神戸電鉄,有馬線,3947
谷上,神戸電鉄,有馬線,0
鵯越,神戸電鉄,有馬線,1138
鈴蘭台,神戸電鉄,有馬線,20473
丸山,神戸電鉄,有馬線,1224
山の街,神戸電鉄,有馬線,4987
唐櫃台,神戸電鉄,有馬線,3237
北鈴蘭台,神戸電鉄,有馬線,12501
名越,水間鉄道,水間線,450
近義の里,水間鉄道,水間線,247
貝塚,水間鉄道,水間線,4665
石才,水間鉄道,水間線,492
貝塚市役所前,水間鉄道,水間線,258
水間観音,水間鉄道,水間線,1445
三ツ松,水間鉄道,水間線,462
清児,水間鉄道,水間線,1422
森,水間鉄道,水間線,733
三ヶ山口,水間鉄道,水間線,270
球場前,水島臨海鉄道,水島本線,366
倉敷市,水島臨海鉄道,水島本線,4440
弥生,水島臨海鉄道,水島本線,580
浦田,水島臨海鉄道,水島本線,728
常盤,水島臨海鉄道,水島本線,323
水島,水島臨海鉄道,水島本線,1279
西富井,水島臨海鉄道,水島本線,701
栄,水島臨海鉄道,水島本線,494
福井,水島臨海鉄道,水島本線,510
三菱自工前,水島臨海鉄道,水島本線,119
宮の陣,西日本鉄道,甘木線,0
大堰,西日本鉄道,甘木線,393
古賀茶屋,西日本鉄道,甘木線,555
馬田,西日本鉄道,甘木線,123
学校前,西日本鉄道,甘木線,336
上浦,西日本鉄道,甘木線,122
五郎丸,西日本鉄道,甘木線,636
本郷,西日本鉄道,甘木線,393
金島,西日本鉄道,甘木線,656
甘木,西日本鉄道,甘木線,1423
大城,西日本鉄道,甘木線,673
北野,西日本鉄道,甘木線,1629
貝塚,西日本鉄道,貝塚線,15088
香椎花園前,西日本鉄道,貝塚線,3036
西鉄新宮,西日本鉄道,貝塚線,1344
和白,西日本鉄道,貝塚線,1992
唐の原,西日本鉄道,貝塚線,983
香椎宮前,西日本鉄道,貝塚線,2327
三苫,西日本鉄道,貝塚線,3440
西鉄香椎,西日本鉄道,貝塚線,3526
西鉄千早,西日本鉄道,貝塚線,5365
名島,西日本鉄道,貝塚線,2615
西鉄二日市,西日本鉄道,太宰府線,0
太宰府,西日本鉄道,太宰府線,12091
西鉄五条,西日本鉄道,太宰府線,6260
味坂,西日本鉄道,天神大牟田線,195
蒲池,西日本鉄道,天神大牟田線,430
春日原,西日本鉄道,天神大牟田線,21063
端間,西日本鉄道,天神大牟田線,1690
西鉄中島,西日本鉄道,天神大牟田線,882
三国が丘,西日本鉄道,天神大牟田線,5555
安武,西日本鉄道,天神大牟田線,995
西鉄柳川,西日本鉄道,天神大牟田線,11470
徳益,西日本鉄道,天神大牟田線,233
都府楼前,西日本鉄道,天神大牟田線,6541
大保,西日本鉄道,天神大牟田線,2847
雑餉隈,西日本鉄道,天神大牟田線,14885
大橋,西日本鉄道,天神大牟田線,35355
試験場前,西日本鉄道,天神大牟田線,3006
筑紫,西日本鉄道,天神大牟田線,6377
下大利,西日本鉄道,天神大牟田線,15645
三潴,西日本鉄道,天神大牟田線,840
西鉄小郡,西日本鉄道,天神大牟田線,11434
八丁牟田,西日本鉄道,天神大牟田線,1176
大善寺,西日本鉄道,天神大牟田線,3442
西鉄平尾,西日本鉄道,天神大牟田線,12648
薬院,西日本鉄道,天神大牟田線,39513
井尻,西日本鉄道,天神大牟田線,21520
西鉄久留米,西日本鉄道,天神大牟田線,33668
津福,西日本鉄道,天神大牟田線,2569
西鉄福岡(天神),西日本鉄道,天神大牟田線,131902
三沢,西日本鉄道,天神大牟田線,1889
矢加部,西日本鉄道,天神大牟田線,164
津古,西日本鉄道,天神大牟田線,2565
高宮,西日本鉄道,天神大牟田線,19639
花畑,西日本鉄道,天神大牟田線,7598
櫛原,西日本鉄道,天神大牟田線,1077
宮の陣,西日本鉄道,天神大牟田線,2261
大溝,西日本鉄道,天神大牟田線,1038
塩塚,西日本鉄道,天神大牟田線,450
白木原,西日本鉄道,天神大牟田線,9127
西鉄二日市,西日本鉄道,天神大牟田線,21740
朝倉街道,西日本鉄道,天神大牟田線,12633
桜台,西日本鉄道,天神大牟田線,2155
犬塚,西日本鉄道,天神大牟田線,982
西鉄渡瀬,西日本鉄道,天神大牟田線,354
倉永,西日本鉄道,天神大牟田線,1116
西鉄銀水,西日本鉄道,天神大牟田線,753
大牟田,西日本鉄道,天神大牟田線,8750
開,西日本鉄道,天神大牟田線,685
新栄町,西日本鉄道,天神大牟田線,4419
江の浦,西日本鉄道,天神大牟田線,337
東甘木,西日本鉄道,天神大牟田線,586
海老江,西日本旅客鉄道,JR東西線,22070
新福島,西日本旅客鉄道,JR東西線,18736
北新地,西日本旅客鉄道,JR東西線,98496
大阪城北詰,西日本旅客鉄道,JR東西線,8622
御幣島,西日本旅客鉄道,JR東西線,25240
京橋,西日本旅客鉄道,JR東西線,0
京橋,西日本旅客鉄道,JR東西線,0
大阪天満宮,西日本旅客鉄道,JR東西線,48050
加島,西日本旅客鉄道,JR東西線,17140
尼崎,西日本旅客鉄道,JR東西線,0
東津山,西日本旅客鉄道,因美線,0
郡家,西日本旅客鉄道,因美線,1924
鳥取,西日本旅客鉄道,因美線,0
国英,西日本旅客鉄道,因美線,56
用瀬,西日本旅客鉄道,因美線,166
河原,西日本旅客鉄道,因美線,172
高野,西日本旅客鉄道,因美線,46
鷹狩,西日本旅客鉄道,因美線,84
津ノ井,西日本旅客鉄道,因美線,1212
因幡社,西日本旅客鉄道,因美線,52
智頭,西日本旅客鉄道,因美線,2938
美作河井,西日本旅客鉄道,因美線,22
美作滝尾,西日本旅客鉄道,因美線,82
那岐,西日本旅客鉄道,因美線,54
土師,西日本旅客鉄道,因美線,50
三浦,西日本旅客鉄道,因美線,36
東郡家,西日本旅客鉄道,因美線,164
知和,西日本旅客鉄道,因美線,18
美作加茂,西日本旅客鉄道,因美線,144
居能,西日本旅客鉄道,宇部線,330
宇部岬,西日本旅客鉄道,宇部線,422
琴芝,西日本旅客鉄道,宇部線,1406
深溝,西日本旅客鉄道,宇部線,114
宇部新川,西日本旅客鉄道,宇部線,1806
床波,西日本旅客鉄道,宇部線,626
新山口,西日本旅客鉄道,宇部線,0
丸尾,西日本旅客鉄道,宇部線,454
周防佐山,西日本旅客鉄道,宇部線,132
岐波,西日本旅客鉄道,宇部線,396
岩鼻,西日本旅客鉄道,宇部線,658
岩倉,西日本旅客鉄道,宇部線,74
東新川,西日本旅客鉄道,宇部線,854
阿知須,西日本旅客鉄道,宇部線,670
草江,西日本旅客鉄道,宇部線,176
常盤,西日本旅客鉄道,宇部線,256
上嘉川,西日本旅客鉄道,宇部線,92
宇部,西日本旅客鉄道,宇部線,0
岡山,西日本旅客鉄道,宇野線,0
備中箕島,西日本旅客鉄道,宇野線,316
久々原,西日本旅客鉄道,宇野線,112
迫川,西日本旅客鉄道,宇野線,504
大元,西日本旅客鉄道,宇野線,3344
早島,西日本旅客鉄道,宇野線,2256
備前西市,西日本旅客鉄道,宇野線,3012
妹尾,西日本旅客鉄道,宇野線,6310
備前田井,西日本旅客鉄道,宇野線,604
備前片岡,西日本旅客鉄道,宇野線,534
宇野,西日本旅客鉄道,宇野線,2494
茶屋町,西日本旅客鉄道,宇野線,7550
常山,西日本旅客鉄道,宇野線,888
彦崎,西日本旅客鉄道,宇野線,618
八浜,西日本旅客鉄道,宇野線,854
柿ケ島,西日本旅客鉄道,越美北線,0
美山,西日本旅客鉄道,越美北線,46
市波,西日本旅客鉄道,越美北線,44
越前大野,西日本旅客鉄道,越美北線,570
越前富田,西日本旅客鉄道,越美北線,10
計石,西日本旅客鉄道,越美北線,20
越前田野,西日本旅客鉄道,越美北線,0
牛ケ原,西日本旅客鉄道,越美北線,4
小和清水,西日本旅客鉄道,越美北線,24
越前薬師,西日本旅客鉄道,越美北線,4
下唯野,西日本旅客鉄道,越美北線,8
北大野,西日本旅客鉄道,越美北線,48
越前高田,西日本旅客鉄道,越美北線,14
越前大宮,西日本旅客鉄道,越美北線,8
勝原,西日本旅客鉄道,越美北線,4
一乗谷,西日本旅客鉄道,越美北線,26
九頭竜湖,西日本旅客鉄道,越美北線,42
越前下山,西日本旅客鉄道,越美北線,4
越前東郷,西日本旅客鉄道,越美北線,158
六条,西日本旅客鉄道,越美北線,10
越前花堂,西日本旅客鉄道,越美北線,782
足羽,西日本旅客鉄道,越美北線,14
谷川,西日本旅客鉄道,加古川線,0
比延,西日本旅客鉄道,加古川線,26
黒田庄,西日本旅客鉄道,加古川線,70
久下村,西日本旅客鉄道,加古川線,8
本黒田,西日本旅客鉄道,加古川線,62
新西脇,西日本旅客鉄道,加古川線,24
日本へそ公園,西日本旅客鉄道,加古川線,18
船町口,西日本旅客鉄道,加古川線,22
滝野,西日本旅客鉄道,加古川線,546
青野ヶ原,西日本旅客鉄道,加古川線,358
神野,西日本旅客鉄道,加古川線,2234
厄神,西日本旅客鉄道,加古川線,1826
市場,西日本旅客鉄道,加古川線,412
西脇市,西日本旅客鉄道,加古川線,1564
社町,西日本旅客鉄道,加古川線,850
河合西,西日本旅客鉄道,加古川線,342
滝,西日本旅客鉄道,加古川線,102
小野町,西日本旅客鉄道,加古川線,814
加古川,西日本旅客鉄道,加古川線,0
加古川,西日本旅客鉄道,加古川線,0
日岡,西日本旅客鉄道,加古川線,1172
上八木,西日本旅客鉄道,可部線,1100
古市橋,西日本旅客鉄道,可部線,3638
梅林,西日本旅客鉄道,可部線,2408
大町,西日本旅客鉄道,可部線,8930
三滝,西日本旅客鉄道,可部線,1070
安芸長束,西日本旅客鉄道,可部線,5568
可部,西日本旅客鉄道,可部線,7330
下祗園,西日本旅客鉄道,可部線,10312
七軒茶屋,西日本旅客鉄道,可部線,1628
中島,西日本旅客鉄道,可部線,1262
緑井,西日本旅客鉄道,可部線,5148
横川,西日本旅客鉄道,可部線,0
関西空港,西日本旅客鉄道,関西空港線,25234
りんくうタウン,西日本旅客鉄道,関西空港線,5976
日根野,西日本旅客鉄道,関西空港線,0
新堂,西日本旅客鉄道,関西線,492
島ヶ原,西日本旅客鉄道,関西線,284
