二月田,九州旅客鉄道,指宿枕崎線,0
越前島橋,えちぜん鉄道,勝山永平寺線,66
観音町,えちぜん鉄道,勝山永平寺線,1135
東藤島,えちぜん鉄道,勝山永平寺線,107
新福井,えちぜん鉄道,勝山永平寺線,43
追分口,えちぜん鉄道,勝山永平寺線,97
東多良木,くま川鉄道,湯前線,67
一武,くま川鉄道,湯前線,92
木上,くま川鉄道,湯前線,16
公立病院前,くま川鉄道,湯前線,18
多良木,くま川鉄道,湯前線,329
あさぎり,くま川鉄道,湯前線,638
湯前,くま川鉄道,湯前線,383
新鶴羽,くま川鉄道,湯前線,15
肥後西村,くま川鉄道,湯前線,458
おかどめ幸福,くま川鉄道,湯前線,164
東免田,くま川鉄道,湯前線,69
相良藩願成寺,くま川鉄道,湯前線,642
川村,くま川鉄道,湯前線,3
人吉温泉,くま川鉄道,湯前線,894
平原,しなの鉄道,しなの鉄道線,157
屋代高校前,しなの鉄道,しなの鉄道線,1834
中軽井沢,しなの鉄道,しなの鉄道線,1210
御代田,しなの鉄道,しなの鉄道線,1480
軽井沢,しなの鉄道,しなの鉄道線,2663
信濃追分,しなの鉄道,しなの鉄道線,513
田中,しなの鉄道,しなの鉄道線,2478
上田,しなの鉄道,しなの鉄道線,11020
西上田,しなの鉄道,しなの鉄道線,1832
戸倉,しなの鉄道,しなの鉄道線,2302
坂城,しなの鉄道,しなの鉄道線,1760
信濃国分寺,しなの鉄道,しなの鉄道線,1124
大屋,しなの鉄道,しなの鉄道線,2255
滋野,しなの鉄道,しなの鉄道線,731
屋代,しなの鉄道,しなの鉄道線,4378
テクノさかき,しなの鉄道,しなの鉄道線,898
小諸,しなの鉄道,しなの鉄道線,3166
篠ノ井,しなの鉄道,しなの鉄道線,0
みどり中街,スカイレールサービス,広島短距離交通瀬野線,202
みどり中央,スカイレールサービス,広島短距離交通瀬野線,1140
みどり口,スカイレールサービス,広島短距離交通瀬野線,1340
和倉温泉,のと鉄道,七尾線,0
七尾,のと鉄道,七尾線,0
笠師保,のと鉄道,七尾線,29
田鶴浜,のと鉄道,七尾線,185
西岸,のと鉄道,七尾線,24
穴水,のと鉄道,七尾線,131
能登中島,のと鉄道,七尾線,116
能登鹿島,のと鉄道,七尾線,4
桐生,わたらせ渓谷鐵道,わたらせ渓谷線,0
花輪,わたらせ渓谷鐵道,わたらせ渓谷線,85
水沼,わたらせ渓谷鐵道,わたらせ渓谷線,140
神戸,わたらせ渓谷鐵道,わたらせ渓谷線,227
相老,わたらせ渓谷鐵道,わたらせ渓谷線,801
通洞,わたらせ渓谷鐵道,わたらせ渓谷線,57
上神梅,わたらせ渓谷鐵道,わたらせ渓谷線,40
間藤,わたらせ渓谷鐵道,わたらせ渓谷線,184
足尾,わたらせ渓谷鐵道,わたらせ渓谷線,50
運動公園,わたらせ渓谷鐵道,わたらせ渓谷線,92
小中,わたらせ渓谷鐵道,わたらせ渓谷線,37
本宿,わたらせ渓谷鐵道,わたらせ渓谷線,22
大間々,わたらせ渓谷鐵道,わたらせ渓谷線,488
沢入,わたらせ渓谷鐵道,わたらせ渓谷線,39
下新田,わたらせ渓谷鐵道,わたらせ渓谷線,65
原向,わたらせ渓谷鐵道,わたらせ渓谷線,5
中野,わたらせ渓谷鐵道,わたらせ渓谷線,6
海部,阿佐海岸鉄道,阿佐東線,0
宍喰,阿佐海岸鉄道,阿佐東線,38
甲浦,阿佐海岸鉄道,阿佐東線,40
福島,阿武隈急行,阿武隈急行線,4316
角田,阿武隈急行,阿武隈急行線,1465
南角田,阿武隈急行,阿武隈急行線,40
大泉,阿武隈急行,阿武隈急行線,544
保原,阿武隈急行,阿武隈急行線,1090
卸町,阿武隈急行,阿武隈急行線,675
高子,阿武隈急行,阿武隈急行線,137
瀬上,阿武隈急行,阿武隈急行線,338
兜,阿武隈急行,阿武隈急行線,4
岡,阿武隈急行,阿武隈急行線,101
上保原,阿武隈急行,阿武隈急行線,452
二井田,阿武隈急行,阿武隈急行線,78
北丸森,阿武隈急行,阿武隈急行線,21
丸森,阿武隈急行,阿武隈急行線,484
槻木,阿武隈急行,阿武隈急行線,1195
横倉,阿武隈急行,阿武隈急行線,18
富野,阿武隈急行,阿武隈急行線,63
東船岡,阿武隈急行,阿武隈急行線,159
梁川,阿武隈急行,阿武隈急行線,504
福島学院前,阿武隈急行,阿武隈急行線,703
向瀬上,阿武隈急行,阿武隈急行線,58
新田,阿武隈急行,阿武隈急行線,306
やながわ希望の森公園前,阿武隈急行,阿武隈急行線,406
あぶくま,阿武隈急行,阿武隈急行線,13
新豊田,愛知環状鉄道,愛知環状鉄道線,13568
保見,愛知環状鉄道,愛知環状鉄道線,1290
山口,愛知環状鉄道,愛知環状鉄道線,2005
大門,愛知環状鉄道,愛知環状鉄道線,2384
高蔵寺,愛知環状鉄道,愛知環状鉄道線,10414
永覚,愛知環状鉄道,愛知環状鉄道線,482
新上挙母,愛知環状鉄道,愛知環状鉄道線,1381
八草,愛知環状鉄道,愛知環状鉄道線,5446
末野原,愛知環状鉄道,愛知環状鉄道線,2243
瀬戸市,愛知環状鉄道,愛知環状鉄道線,5960
三河上郷,愛知環状鉄道,愛知環状鉄道線,1782
北野桝塚,愛知環状鉄道,愛知環状鉄道線,1937
中水野,愛知環状鉄道,愛知環状鉄道線,3412
三河豊田,愛知環状鉄道,愛知環状鉄道線,12460
篠原,愛知環状鉄道,愛知環状鉄道線,253
瀬戸口,愛知環状鉄道,愛知環状鉄道線,3830
愛環梅坪,愛知環状鉄道,愛知環状鉄道線,1798
四郷,愛知環状鉄道,愛知環状鉄道線,1300
貝津,愛知環状鉄道,愛知環状鉄道線,926
北岡崎,愛知環状鉄道,愛知環状鉄道線,3476
岡崎,愛知環状鉄道,愛知環状鉄道線,9635
中岡崎,愛知環状鉄道,愛知環状鉄道線,3345
六名,愛知環状鉄道,愛知環状鉄道線,1289
杁ヶ池公園,愛知高速交通,東部丘陵線,3169
陶磁資料館南,愛知高速交通,東部丘陵線,316
公園西,愛知高速交通,東部丘陵線,1213
愛・地球博記念公園,愛知高速交通,東部丘陵線,4893
芸大通,愛知高速交通,東部丘陵線,1977
長久手古戦場,愛知高速交通,東部丘陵線,3355
はなみずき通,愛知高速交通,東部丘陵線,2549
八草,愛知高速交通,東部丘陵線,6853
藤が丘,愛知高速交通,東部丘陵線,17106
多宝塔,鞍馬寺,鞍馬山鋼索鉄道,700
山門,鞍馬寺,鞍馬山鋼索鉄道,700
河芸,伊勢鉄道,伊勢線,92
伊勢上野,伊勢鉄道,伊勢線,92
鈴鹿サーキット稲生,伊勢鉄道,伊勢線,252
中瀬古,伊勢鉄道,伊勢線,258
鈴鹿,伊勢鉄道,伊勢線,550
玉垣,伊勢鉄道,伊勢線,292
徳田,伊勢鉄道,伊勢線,54
河原田,伊勢鉄道,伊勢線,0
東一身田,伊勢鉄道,伊勢線,116
津,伊勢鉄道,伊勢線,587
稲梓,伊豆急行,伊豆急行線,59
伊豆熱川,伊豆急行,伊豆急行線,1177
蓮台寺,伊豆急行,伊豆急行線,801
片瀬白田,伊豆急行,伊豆急行線,424
河津,伊豆急行,伊豆急行線,1701
伊豆北川,伊豆急行,伊豆急行線,74
伊豆急下田,伊豆急行,伊豆急行線,3675
南伊東,伊豆急行,伊豆急行線,1183
今井浜海岸,伊豆急行,伊豆急行線,332
富戸,伊豆急行,伊豆急行線,411
城ヶ崎海岸,伊豆急行,伊豆急行線,732
伊豆高原,伊豆急行,伊豆急行線,3167
伊豆稲取,伊豆急行,伊豆急行線,1708
伊豆大川,伊豆急行,伊豆急行線,329
伊東,伊豆急行,伊豆急行線,0
川奈,伊豆急行,伊豆急行線,1600
十国登り口,伊豆箱根鉄道,十国鋼索線,533
十国峠,伊豆箱根鉄道,十国鋼索線,533
修善寺,伊豆箱根鉄道,駿豆線,4957
三島,伊豆箱根鉄道,駿豆線,16966
大仁,伊豆箱根鉄道,駿豆線,2563
韮山,伊豆箱根鉄道,駿豆線,3032
牧之郷,伊豆箱根鉄道,駿豆線,444
伊豆長岡,伊豆箱根鉄道,駿豆線,4816
三島二日町,伊豆箱根鉄道,駿豆線,3017
原木,伊豆箱根鉄道,駿豆線,722
大場,伊豆箱根鉄道,駿豆線,4905
三島田町,伊豆箱根鉄道,駿豆線,2827
田京,伊豆箱根鉄道,駿豆線,2628
伊豆仁田,伊豆箱根鉄道,駿豆線,3304
三島広小路,伊豆箱根鉄道,駿豆線,3905
穴部,伊豆箱根鉄道,大雄山線,1362
和田河原,伊豆箱根鉄道,大雄山線,3179
小田原,伊豆箱根鉄道,大雄山線,17618
岩原,伊豆箱根鉄道,大雄山線,1622
大雄山,伊豆箱根鉄道,大雄山線,5334
井細田,伊豆箱根鉄道,大雄山線,3276
緑町,伊豆箱根鉄道,大雄山線,461
相模沼田,伊豆箱根鉄道,大雄山線,3018
五百羅漢,伊豆箱根鉄道,大雄山線,1500
塚原,伊豆箱根鉄道,大雄山線,2377
飯田岡,伊豆箱根鉄道,大雄山線,1754
富士フイルム前,伊豆箱根鉄道,大雄山線,1263
いよ立花,伊予鉄道,横河原線,2101
久米,伊予鉄道,横河原線,2690
福音寺,伊予鉄道,横河原線,1624
横河原,伊予鉄道,横河原線,1213
牛渕,伊予鉄道,横河原線,184
愛大医学部南口,伊予鉄道,横河原線,1266
牛渕団地前,伊予鉄道,横河原線,935
平井,伊予鉄道,横河原線,997
田窪,伊予鉄道,横河原線,764
鷹ノ子,伊予鉄道,横河原線,1062
松山市,伊予鉄道,横河原線,0
石手川公園,伊予鉄道,横河原線,411
北久米,伊予鉄道,横河原線,1254
見奈良,伊予鉄道,横河原線,759
梅本,伊予鉄道,横河原線,1599
南堀端,伊予鉄道,花園線,0
松山市駅前,伊予鉄道,花園線,8113
松山市,伊予鉄道,郡中線,0
余戸,伊予鉄道,郡中線,2441
土橋,伊予鉄道,郡中線,892
岡田,伊予鉄道,郡中線,1059
鎌田,伊予鉄道,郡中線,1077
古泉,伊予鉄道,郡中線,2247
土居田,伊予鉄道,郡中線,2121
松前,伊予鉄道,郡中線,1015
地蔵町,伊予鉄道,郡中線,520
郡中,伊予鉄道,郡中線,1013
郡中港,伊予鉄道,郡中線,1053
新川,伊予鉄道,郡中線,656
古町,伊予鉄道,高浜線,4770
松山市,伊予鉄道,高浜線,19062
大手町,伊予鉄道,高浜線,2568
西衣山,伊予鉄道,高浜線,1165
衣山,伊予鉄道,高浜線,2114
三津,伊予鉄道,高浜線,2050
山西,伊予鉄道,高浜線,2488
梅津寺,伊予鉄道,高浜線,280
高浜,伊予鉄道,高浜線,1282
港山,伊予鉄道,高浜線,332
西堀端,伊予鉄道,城南線,0
市役所前,伊予鉄道,城南線,801
南町,伊予鉄道,城南線,1120
大街道,伊予鉄道,城南線,5255
道後温泉,伊予鉄道,城南線,3188
勝山町,伊予鉄道,城南線,1659
南堀端,伊予鉄道,城南線,697
上一万,伊予鉄道,城南線,1536
道後公園,伊予鉄道,城南線,724
平和通1丁目,伊予鉄道,城南線,0
警察署前,伊予鉄道,城南線,1039
県庁前,伊予鉄道,城南線,905
平和通1丁目,伊予鉄道,城北線,343
木屋町,伊予鉄道,城北線,654
鉄砲町,伊予鉄道,城北線,747
高砂町,伊予鉄道,城北線,320
萱町6丁目,伊予鉄道,城北線,373
古町,伊予鉄道,城北線,0
赤十字病院前,伊予鉄道,城北線,1505
清水町,伊予鉄道,城北線,447
本町6丁目,伊予鉄道,城北線,993
古町,伊予鉄道,大手町線,0
大手町,伊予鉄道,大手町線,562
松山駅前,伊予鉄道,大手町線,4011
宮田町,伊予鉄道,大手町線,924
西堀端,伊予鉄道,大手町線,539
西堀端,伊予鉄道,本町線,0
本町5丁目,伊予鉄道,本町線,77
本町4丁目,伊予鉄道,本町線,73
本町6丁目,伊予鉄道,本町線,993
本町3丁目,伊予鉄道,本町線,77
総社,井原鉄道,井原線,202
清音,井原鉄道,井原線,1424
神辺,井原鉄道,井原線,503
御領,井原鉄道,井原線,93
いずえ,井原鉄道,井原線,56
吉備真備,井原鉄道,井原線,514
備中呉妹,井原鉄道,井原線,87
小田,井原鉄道,井原線,100
矢掛,井原鉄道,井原線,733
湯野,井原鉄道,井原線,132
子守唄の里高屋,井原鉄道,井原線,192
三谷,井原鉄道,井原線,65
井原,井原鉄道,井原線,801
早雲の里荏原,井原鉄道,井原線,209
川辺宿,井原鉄道,井原線,189
川跡,一畑電車,大社線,0
遥堪,一畑電車,大社線,31
高浜,一畑電車,大社線,61
浜山公園北口,一畑電車,大社線,192
出雲大社前,一畑電車,大社線,871
旅伏,一畑電車,北松江線,101
伊野灘,一畑電車,北松江線,43
松江フォーゲルパーク,一畑電車,北松江線,56
園,一畑電車,北松江線,70
湖遊館新,一畑電車,北松江線,39
川跡,一畑電車,北松江線,380
朝日ヶ丘,一畑電車,北松江線,236
長江,一畑電車,北松江線,41
布崎,一畑電車,北松江線,121
松江しんじ湖温泉,一畑電車,北松江線,1892
大津町,一畑電車,北松江線,224
高ノ宮,一畑電車,北松江線,29
松江イングリッシュガーデン前,一畑電車,北松江線,137
武志,一畑電車,北松江線,51
美談,一畑電車,北松江線,35
雲州平田,一畑電車,北松江線,1100
出雲科学館パークタウン前,一畑電車,北松江線,58
大寺,一畑電車,北松江線,10
秋鹿町,一畑電車,北松江線,146
一畑口,一畑電車,北松江線,197
津ノ森,一畑電車,北松江線,200
電鉄出雲市,一畑電車,北松江線,1331
木野,叡山電鉄,鞍馬線,393
市原,叡山電鉄,鞍馬線,766
八幡前,叡山電鉄,鞍馬線,625
岩倉,叡山電鉄,鞍馬線,1284
京都精華大前,叡山電鉄,鞍馬線,1069
宝ヶ池,叡山電鉄,鞍馬線,0
鞍馬,叡山電鉄,鞍馬線,896
二軒茶屋,叡山電鉄,鞍馬線,1356
二ノ瀬,叡山電鉄,鞍馬線,56
貴船口,叡山電鉄,鞍馬線,703
修学院,叡山電鉄,叡山本線,2892
八瀬比叡山口,叡山電鉄,叡山本線,788
一乗寺,叡山電鉄,叡山本線,2272
出町柳,叡山電鉄,叡山本線,10900
茶山,叡山電鉄,叡山本線,1778
三宅八幡,叡山電鉄,叡山本線,583
元田中,叡山電鉄,叡山本線,906
宝ヶ池,叡山電鉄,叡山本線,795
遠州小松,遠州鉄道,鉄道線,2123
上島,遠州鉄道,鉄道線,3228
浜北,遠州鉄道,鉄道線,3372
遠州芝本,遠州鉄道,鉄道線,1262
自動車学校前,遠州鉄道,鉄道線,1940
八幡,遠州鉄道,鉄道線,2127
遠州病院,遠州鉄道,鉄道線,1861
遠州岩水寺,遠州鉄道,鉄道線,868
新浜松,遠州鉄道,鉄道線,15737
さぎの宮,遠州鉄道,鉄道線,2166
積志,遠州鉄道,鉄道線,1722
美薗中央公園,遠州鉄道,鉄道線,2151
遠州西ヶ崎,遠州鉄道,鉄道線,1523
遠州小林,遠州鉄道,鉄道線,2605
助信,遠州鉄道,鉄道線,2484
曳馬,遠州鉄道,鉄道線,2585
第一通り,遠州鉄道,鉄道線,3121
西鹿島,遠州鉄道,鉄道線,3425
みなとみらい,横浜高速鉄道,みなとみらい21線,80887
元町・中華街,横浜高速鉄道,みなとみらい21線,60326
新高島,横浜高速鉄道,みなとみらい21線,3888
馬車道,横浜高速鉄道,みなとみらい21線,36421
日本大通り,横浜高速鉄道,みなとみらい21線,24862
横浜,横浜高速鉄道,みなとみらい21線,189283
吉野町,横浜市,1号線,14970
阪東橋,横浜市,1号線,18961
港南中央,横浜市,1号線,18424
伊勢佐木長者町,横浜市,1号線,17051
上大岡,横浜市,1号線,73731
弘明寺,横浜市,1号線,19320
蒔田,横浜市,1号線,23187
関内,横浜市,1号線,0
湘南台,横浜市,1号線,47371
踊場,横浜市,1号線,18381
舞岡,横浜市,1号線,5438
上永谷,横浜市,1号線,37320
下永谷,横浜市,1号線,10741
中田,横浜市,1号線,17372
立場,横浜市,1号線,22307
戸塚,横浜市,1号線,88698
下飯田,横浜市,1号線,6223
仲町台,横浜市,3号線,32326
高島町,横浜市,3号線,8726
北新横浜,横浜市,3号線,12344
三ツ沢上町,横浜市,3号線,15973
新羽,横浜市,3号線,20210
岸根公園,横浜市,3号線,11558
片倉町,横浜市,3号線,21553
三ツ沢下町,横浜市,3号線,12210
横浜,横浜市,3号線,134781
センター北,横浜市,3号線,53475
新横浜,横浜市,3号線,68976
桜木町,横浜市,3号線,36767
関内,横浜市,3号線,46429
センター南,横浜市,3号線,56031
あざみ野,横浜市,3号線,80175
中川,横浜市,3号線,18440
八景島,横浜シーサイドライン,金沢シーサイドライン,4922
産業振興センター,横浜シーサイドライン,金沢シーサイドライン,4224
野島公園,横浜シーサイドライン,金沢シーサイドライン,2724
幸浦,横浜シーサイドライン,金沢シーサイドライン,5588
海の公園柴口,横浜シーサイドライン,金沢シーサイドライン,2074
並木北,横浜シーサイドライン,金沢シーサイドライン,3396
鳥浜,横浜シーサイドライン,金沢シーサイドライン,7658
金沢八景,横浜シーサイドライン,金沢シーサイドライン,15116
並木中央,横浜シーサイドライン,金沢シーサイドライン,4948
新杉田,横浜シーサイドライン,金沢シーサイドライン,33460
海の公園南口,横浜シーサイドライン,金沢シーサイドライン,1586
南部市場,横浜シーサイドライン,金沢シーサイドライン,2814
福浦,横浜シーサイドライン,金沢シーサイドライン,3716
市大医学部,横浜シーサイドライン,金沢シーサイドライン,10694
柳川,岡山電気軌道,清輝橋線,0
田町,岡山電気軌道,清輝橋線,83
郵便局前,岡山電気軌道,清輝橋線,646
新西大寺町筋,岡山電気軌道,清輝橋線,148
大雲寺前,岡山電気軌道,清輝橋線,177
清輝橋,岡山電気軌道,清輝橋線,691
西川緑道公園,岡山電気軌道,東山本線,321
岡山駅前,岡山電気軌道,東山本線,6874
西大寺町,岡山電気軌道,東山本線,431
東山,岡山電気軌道,東山本線,2542
柳川,岡山電気軌道,東山本線,422
県庁通り,岡山電気軌道,東山本線,2082
門田屋敷,岡山電気軌道,東山本線,393
城下,岡山電気軌道,東山本線,2191
中納言,岡山電気軌道,東山本線,255
小橋,岡山電気軌道,東山本線,359
壺川,沖縄都市モノレール,沖縄都市モノレール線,3918
牧志,沖縄都市モノレール,沖縄都市モノレール線,6076
安里,沖縄都市モノレール,沖縄都市モノレール線,3910
県庁前,沖縄都市モノレール,沖縄都市モノレール線,11644
美栄橋,沖縄都市モノレール,沖縄都市モノレール線,5008
旭橋,沖縄都市モノレール,沖縄都市モノレール線,5918
儀保,沖縄都市モノレール,沖縄都市モノレール線,3126
那覇空港,沖縄都市モノレール,沖縄都市モノレール線,10538
首里,沖縄都市モノレール,沖縄都市モノレール線,6732
おもろまち,沖縄都市モノレール,沖縄都市モノレール線,10398
市立病院前,沖縄都市モノレール,沖縄都市モノレール線,1636
小禄,沖縄都市モノレール,沖縄都市モノレール線,6782
赤嶺,沖縄都市モノレール,沖縄都市モノレール線,3916
奥武山公園,沖縄都市モノレール,沖縄都市モノレール線,4036
養鱒公園,会津鉄道,会津線,27
七ヶ岳登山口,会津鉄道,会津線,18
湯野上温泉,会津鉄道,会津線,201
芦ノ牧温泉,会津鉄道,会津線,152
南若松,会津鉄道,会津線,35
田島高校前,会津鉄道,会津線,182
会津荒海,会津鉄道,会津線,76
ふるさと公園,会津鉄道,会津線,30
中荒井,会津鉄道,会津線,22
会津下郷,会津鉄道,会津線,200
門田,会津鉄道,会津線,4
塔のへつり,会津鉄道,会津線,77
会津田島,会津鉄道,会津線,520
あまや,会津鉄道,会津線,6
会津山村道場,会津鉄道,会津線,13
芦ノ牧温泉南,会津鉄道,会津線,8
大川ダム公園,会津鉄道,会津線,2
会津長野,会津鉄道,会津線,16
弥五島,会津鉄道,会津線,79
西若松,会津鉄道,会津線,399
会津高原尾瀬口,会津鉄道,会津線,65
岳南原田,岳南電車,岳南線,214
須津,岳南電車,岳南線,184
ジヤトコ前(ジヤトコ1地区前),岳南電車,岳南線,93
比奈,岳南電車,岳南線,127
岳南富士岡,岳南電車,岳南線,241
吉原,岳南電車,岳南線,1883
吉原本町,岳南電車,岳南線,1124
岳南江尾,岳南電車,岳南線,110
本吉原,岳南電車,岳南線,297
神谷,岳南電車,岳南線,143
基山,甘木鉄道,甘木線,823
松崎,甘木鉄道,甘木線,394
大板井,甘木鉄道,甘木線,55
高田,甘木鉄道,甘木線,57
小郡,甘木鉄道,甘木線,1043
立野,甘木鉄道,甘木線,67
今隈,甘木鉄道,甘木線,89
西太刀洗,甘木鉄道,甘木線,171
山隈,甘木鉄道,甘木線,235
甘木,甘木鉄道,甘木線,620
太刀洗,甘木鉄道,甘木線,243
黒部ダム,関西電力,関西電力,4410
扇沢,関西電力,関西電力,4410
大宝,関東鉄道,常総線,90
黒子,関東鉄道,常総線,165
下館,関東鉄道,常総線,1084
騰波ノ江,関東鉄道,常総線,71
下妻,関東鉄道,常総線,1584
大田郷,関東鉄道,常総線,340
中妻,関東鉄道,常総線,244
寺原,関東鉄道,常総線,1924
宗道,関東鉄道,常総線,221
戸頭,関東鉄道,常総線,5382
取手,関東鉄道,常総線,11081
北水海道,関東鉄道,常総線,360
石下,関東鉄道,常総線,781
守谷,関東鉄道,常総線,13973
新取手,関東鉄道,常総線,2038
西取手,関東鉄道,常総線,2502
南守谷,関東鉄道,常総線,2362
稲戸井,関東鉄道,常総線,1514
小絹,関東鉄道,常総線,1888
南石下,関東鉄道,常総線,250
三妻,関東鉄道,常総線,243
玉村,関東鉄道,常総線,64
